2026-02-13T12:07:16.895Z | POST /api/auth/send-otp | 200 | 6ms | ::1
2026-02-13T12:08:16.844Z | POST /api/auth/verify-otp | 200 | 38ms | ::1
2026-02-13T12:08:58.299Z | POST /api/recharge/operators | 401 | 15ms | ::1
2026-02-13T12:09:12.744Z | POST /api/recharge/operators | 401 | 3ms | ::1
2026-02-13T12:10:55.984Z | POST /api/recharge/operators | 500 | 616ms | ::1
2026-02-13T12:14:35.810Z | POST /api/recharge/operators | 500 | 1171ms | ::1
2026-02-13T12:14:48.215Z | POST /api/recharge/operators | 500 | 246ms | ::1
2026-02-13T12:18:30.537Z | GET /api/system/test-paysprint | 500 | 871ms | ::1
2026-02-13T12:29:44.120Z | GET /api/system/test-paysprint | 200 | 697ms | ::1
2026-02-13T12:30:24.754Z | POST /api/recharge/operators | 200 | 211ms | ::1
2026-02-15T06:30:01.202Z | GET /api/verity-otp | 404 | 25ms | ::1
2026-02-15T06:30:07.061Z | POST /api/verity-otp | 404 | 2ms | ::1
2026-02-15T06:30:09.218Z | POST /api/verity-otp | 404 | 1ms | ::1
2026-02-15T06:30:18.690Z | POST /api/auth/verity-otp | 404 | 2ms | ::1
2026-02-15T06:31:16.729Z | POST /api/auth/send-otp | 500 | 49ms | ::1
2026-02-16T05:11:03.511Z | GET /health | 200 | 36ms | ::1
2026-02-16T05:11:10.587Z | GET /api/system/test-paysprint | 200 | 446ms | ::1
2026-02-16T05:12:46.903Z | POST /api/system/test-status | 200 | 322ms | ::1
2026-02-16T05:13:49.438Z | POST /api/auth/send-otp | 200 | 69ms | ::1
2026-02-16T05:14:33.176Z | POST /api/auth/verity-otp | 404 | 5ms | ::1
2026-02-16T05:14:45.785Z | POST /api/auth/verify-otp | 200 | 80ms | ::1
2026-02-16T05:16:31.018Z | POST /api/system/test-dorecharge | 500 | 350ms | ::1
2026-02-16T05:18:52.898Z | GET /api/user/profile | 401 | 12ms | ::1
2026-02-16T05:19:17.364Z | GET /api/user/profile | 200 | 7ms | ::1
2026-02-16T05:22:23.030Z | PUT /api/user/profile | 200 | 215ms | ::1
2026-02-16T05:22:39.585Z | GET /api/wallet/balance | 200 | 29ms | ::1
2026-02-16T05:22:53.949Z | POST /api/recharge/operators | 200 | 350ms | ::1
2026-02-16T05:23:34.603Z | POST /api/recharge/mobile | 400 | 12ms | ::1
2026-02-16T05:24:02.812Z | POST /api/recharge/mobile | 502 | 338ms | ::1
2026-02-16T05:24:43.821Z | POST /api/recharge/mobile | 502 | 412ms | ::1
2026-02-16T05:25:43.418Z | POST /api/recharge/status | 200 | 176ms | ::1
2026-02-16T05:26:08.024Z | POST /api/banking/add-account | 500 | 31ms | ::1
2026-02-16T05:30:09.035Z | POST /api/banking/add-account | 500 | 97ms | ::1
2026-02-16T05:31:26.611Z | GET /health | 200 | 24ms | ::1
2026-02-16T05:55:24.819Z | POST /api/banking/seed-banks | 500 | 500ms | ::1
2026-02-16T05:56:32.953Z | POST /api/banking/seed-banks | 401 | 5ms | ::1
